2018/01/04 17:54:29 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:29 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:29 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:29 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:29 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:39 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5306: Image acquisition: failed grabbing of an image in operator grab_image
2018/01/04 17:54:42 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:42 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:42 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:42 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:43 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:43 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:43 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:43 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:43 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:43 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:43 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:43 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:45 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:45 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:46 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:46 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:46 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:46 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:46 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:46 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:46 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:46 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:47 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:47 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 17:54:47 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 17:54:47 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 18:08:12 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 18:08:12 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 18:08:16 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
